ID,IDRS_Date,count,Date,gower_similarity,OEZK,river_type,Conductivity,Nitrate,Nitrogen,Oxygen,Temperature,pH,Ammonium,Phosphate,XUTM32N,YUTM32N,System,Status,CatCropWald,Cat_Urban,Cat_tot_Agriculture,Cat_Agri_without_grassl,PCA1,delta_PCA,delta_OEZK,delta_gower_similarity
104000087,104000087_2007,3,2007,0.51842766,0.054,Typ 09,34.5,0.149798,2.7,6.2,14.9,7.1,0.13,0.02,NA,NA,NA,NA,NA,NA,NA,NA,0.528219071,1.303619713,-0.013,-0.042815862
104000091,104000091_2007,2,2007,0.46199972,0,Typ 15_gross,412.034522,0.06245,4.1,8.3626,16.745,7.674466667,0.1,0.066294,NA,NA,NA,NA,NA,NA,NA,NA,1.427842342,0.532077424,0,0.025118476
104000097,104000097_2007,2,2007,0.548011815,0.36,Typ 09,173,0.107351,1.64697725,9.74,17.8,7.21,0.019375,0.05,32499335.13,5507455.874,Rhein,NWB,11.89313,39.92331,21.1303,6.8103,0.147429544,1.163672018,-0.026,0.035548843
104000098,104000098_2007,2,2007,0.536129915,0.112,Typ 09,258,0.120175,2.9,9.37,18.2,7.4,0.019375,0.11,32503773.48,5521030.454,Rhein,NWB,19.84362,15.64837,23.87681,9.727,0.989605709,1.239921032,-0.216,0.064390491
104000099,104000099_2007,2,2007,0.553780038,0.221,Typ 09,31.8,0.003627,0.37,9.1,12.8,7.86,0.0019375,0.006,32487749.78,5517102.119,Rhein,NWB,34.22194,7.90042,40.97907,18.64057,-0.986119069,-1.732642822,0.053,0.089226791
104000100,104000100_2007,2,2007,0.549855207,0.249,Typ 09,69.5,0.028875,0.43,9.12,19.1,9.01,0.021,0.014,32500324.93,5535904.545,Rhein,NWB,42.26922,12.29365,41.90759,29.7369,-0.871967705,-1.612548039,0.127,0.014957208
104000101,104000101_2007,2,2007,0.506736968,0.005,Typ 15_gross,104.287,0.0286705,0.19,7.72765,17.38333333,7.8324,0.012,0.011,NA,NA,NA,NA,NA,NA,NA,NA,-0.762053729,-0.98105752,0.005,0.006574036
104000103,104000103_2007,2,2007,0.415866525,0.593,Typ 11,58.9,0.11,0.98741,7.3,15.3,7.54,0.024,0.0223,NA,NA,NA,NA,NA,NA,NA,NA,-0.315512567,-0.905495407,0.268,-0.063724297
104000104,104000104_2007,2,2007,0.579015027,0.761,Typ 09,19,0.004,0.13,10.3,15.7,7.03,0.0019375,0.003,32503384.05,5588983.419,Rhein,NWB,52.66695,5.76414,35.69938,4.67791,-1.051030681,-0.446934642,0.295,-0.008267855
104000105,104000105_2007,2,2007,0.458725201,0.048,Typ 15_gross,120.034,0.15379,3.14369,6.70205,16.1256,7.6594,0.138283125,0.05057,NA,NA,NA,NA,NA,NA,NA,NA,0.924901603,0.174567818,0.048,-0.010123147
104000109,104000109_2007,2,2007,0.587369451,0.443,Typ 09,30.8,0.003,0.24,9.1,15.3,7.63,0.0019375,0.01,NA,NA,NA,NA,NA,NA,NA,NA,-0.981800512,-1.575929615,0.251,-0.004998821
104000110,104000110_2007,2,2007,0.468026386,0.076,Typ 06,161.309,0.087900875,2.4,7.34325,15.619,8.1349,0.0019375,0.0367425,NA,NA,NA,NA,NA,NA,NA,NA,0.166589949,-0.633726387,0.033,0.014704594
104000112,104000112_2007,2,2007,0.568328376,0.331,Typ 09,28.2,0.002,0.21,9.45,14.9,8.08,0.0019375,0.008,32462500.41,5603397.982,Rhein,NWB,62.89045,12.12426,22.00446,2.99701,-1.061223539,-0.660251148,0.045,0.028240658
104000119,104000119_2007,2,2007,0.526132615,0.306,Typ 09.1,59,0.002,0.31,8.7,17.8,7.9,0.008,0.021,NA,NA,NA,NA,NA,NA,NA,NA,-0.853885278,-1.538915208,0.004,0.048425209
104000120,104000120_2007,2,2007,0.45747018,0.487,Typ 09,84.375,0.016669,0.7861,11.2,7.8,7.6,0.036105611,0.01519,32550840.48,5632761.681,Weser,NWB,40.48215,10.6196,47.96116,25.09456,-0.659259269,-0.42186932,0.143,-0.132872226
104000122,104000122_2007,2,2007,0.56498059,0.567,Typ 09.2,22,0.001,0.13,9.8,16.8,7.7,0.01,0.001,32507522.96,5668731.701,Weser,NWB,59.49941,6.68634,29.75947,12.18072,-1.090457266,-0.023062012,0.071,0.030745495
104000124,104000124_2007,2,2007,0.642714327,0.908,Typ 09.2,24,0.001,0.16,8.9,17,7.7,0.0019375,0.005,NA,NA,NA,NA,NA,NA,NA,NA,-1.048072526,0.047435397,-0.031,0.043383492
104000127,104000127_2007,2,2007,0.539608987,0.625,Typ 09.2,68,0.001,0.44,9.4,16.8,8,0.0019375,0.013,32532723.37,5720570.681,Weser,NWB,40.53044,7.5007,48.82562,35.5383,-0.896452254,0.007192053,-0.009,0.023189048
104000128,104000128_2007,2,2007,0.584732952,0.678,Typ 09.1,46,0.001,0.35,10.1,13,7.9,0.0019375,0.007,32500815.88,5707096.427,Weser,NWB,49.87117,7.95419,39.17853,18.93016,-1.003482717,-0.033530582,0.158,0.008687254
104000146,104000146_2007,2,2007,0.466850976,0.24,Typ 05,83.3,0.18444,2.24782,8.41,11.5,8.3,0.026,0.04234,32462468.81,5510756.802,Rhein,NWB,1.37597,17.05947,38.79192,30.77203,0.237247482,-0.200783698,0.144,-0.015629938
104000652,104000652_2007,2,2007,0.549215953,0.79,Typ 09.1,73.2,0.006,0.47,11.7,12.9,7.87,0.0019375,0.029,NA,NA,NA,NA,NA,NA,NA,NA,-0.840314862,0.129919768,0.141,-0.006904658
104000805,104000805_2007,2,2007,0.382682032,0.074,Typ 09,65.9,0.17,3.10272,6.6,14.8,7.71,0.14882375,0.019,32491184.82,5577040.253,Rhein,NWB,33.43321,7.66104,54.33359,45.22634,0.7057065,0.467584813,0.046,-0.102101417
104000843,104000843_2007,2,2007,0.530497706,0.066,Typ 15_gross,42.7,0.012,0.22,7.7,15.4,7.48,0.02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,-0.843464926,-1.146010429,0.052,0.069273166
104000846,104000846_2007,2,2007,0.550793673,0.163,Typ 05,21.4,0.001,0.2,12.3,7.2,7.44,0.0019375,0.003,NA,NA,NA,NA,NA,NA,NA,NA,-1.133835761,-1.293598867,0.097,0.024586372
106000082,106000082_2007,4,2007,0.473252333,0.597,Typ 15,45,0.00025,0.34,5.62,13.2,7.5,0.028,0.008,32397754.35,5810818.611,Ems,HMWB,17.65261,10.67884,70.89125,61.8749,-0.756065219,-1.809575675,0.207,-0.009612024
106000143,106000143_2007,4,2007,0.49544208,0.215,Typ 14,40,0.26642,4.2,6.7,14.3,7.7,0.06,0.05,32398108.52,5832188.104,Ems,HMWB,16.90107,8.10469,71.99584,67.61996,1.10932498,0.513860165,0.059,-0.01779132
106000160,106000160_2007,6,2007,0.5195746,0.771,Typ 12,20.8,0.00025,0.25,4.52,12.9,6.8,0.02,0.007,32395446.72,5842205.157,NA,HMWB,18.23755,11.20497,67.5178,54.98882,-0.746019034,-1.208038732,0.105,-0.0069371
106000166,106000166_2007,3,2007,0.442548872,0.013,Typ 15_gross,495,0.06,3.85,9.55,9.6,7.45,0.16,0.14,32388318.52,5839650.274,Ems,HMWB,23.24861,12.08511,58.78374,49.55581,2.042224924,0.784461063,0.001,-0.029793328
106000177,106000177_2007,5,2007,0.485890776,0.114,Typ 14,34,0.31757,4.2,4.34,10.3,6.8,0.52,0.047,32407164.06,5911556.389,NA,HMWB,12.40474,15.92333,55.95104,20.05684,2.514870475,0.564618183,0.114,0.036680245
106000517,106000517_2007,3,2007,0.490995949,0.166,Typ 15,540,0.07,2.7,8.1,12.6,7.3,0.79,0.08,32361355.83,5810145.387,Küste,HMWB,9.98186,8.70384,38.31531,31.90593,3.143286361,0.235732183,-0.024,-0.024200439
106000522,106000522_2007,3,2007,0.545737319,0.124,Typ 14,480,0.09,2.4,8.3,11.4,7.4,0.72,0.06,32350066.67,5834888.705,NA,AWB,6.56703,19.10033,70.92449,61.51937,2.697182285,0.159198151,0,0.043607216
106000524,106000524_2007,4,2007,0.488867252,0,Typ 15_gross,635,0.04,5.15,9.7,10.65,7.8,0.19,0.13,32346890.88,5831467.11,Küste,HMWB,14.77569,10.25784,51.04911,41.90279,2.576720183,0.405718514,-0.012,-0.037097087
106000540,106000540_2007,4,2007,0.530506183,0.042,Typ 14,450,0.06,3.8,6,12,7.2,0.3,0.07,32346318.03,5825964.306,Küste,HMWB,18.49256,6.47693,65.00348,44.79299,2.053956355,2.138175537,0.042,0.047913243
106000661,106000661_2007,4,2007,0.431760626,0,Typ 15_gross,890,0.03,5.9,9.8,12.4,7.7,0.09,0.11,32385296.36,5814494.322,NA,HMWB,NA,NA,NA,NA,2.83566957,-0.008683746,-0.031,-0.024721636
106000666,106000666_2007,4,2007,0.48642675,0,Typ 15_gross,800,0.03,5.2,9.8,12.7,7.6,0.15,0.1,32382668.99,5855157.184,NA,HMWB,23.67733,5.67193,51.1926,36.46767,2.596399427,-0.481386704,0,0.026115
106000721,106000721_2007,3,2007,0.457941457,0.014,Typ 15_gross,1043,0.03,6,10.1,12.5,7.7,0.09,0.1,32382588.56,5823138.922,NA,HMWB,NA,NA,NA,NA,3.05736413,-0.848432942,0.013,-0.020011341
106000808,106000808_2007,3,2007,0.512927604,0.585,Typ 12,267,0.07,3.8,9.7,9.3,7.2,0.11,0.18,32389671.07,5845625.878,NA,HMWB,NA,NA,NA,NA,1.77738889,-0.992867024,0.208,0.010178263
106000815,106000815_2007,3,2007,0.481026227,0.228,Typ 11,410,0.07,0.96,4.8,12,7.2,3.6,0.36,32373405.68,5855968.992,NA,AWB,NA,NA,NA,NA,11.22524696,7.973548231,0.049,-0.048480504
106000860,106000860_2007,3,2007,0.495419925,0.6,Typ 12,162,0.01,1,9.3,8.4,6.8,0.65,0.18,32412172.53,5873528.452,NA,HMWB,NA,NA,NA,NA,2.122798197,1.503316168,0.286,0.051317049
106000521,106000521_2007,3,2007,0.526086608,0.412,Typ 11,480,0.04,0.41,1.3,11.9,6.8,4.5,0.3,32369186.94,5826177.901,Küste,AWB,41.77634,7.08983,36.70784,29.40574,13.223653,10.17610923,0.122,0.035185382
104000160,104000160_2008,2,2008,0.502236434,0.221,Typ 19,80.2,0.003,0.44,8.64,13.1,7.9,0.007,0.004,32463115.67,5530181.08,Rhein,NWB,3.42177,6.86307,26.58978,24.34004,-0.873502088,-1.912569491,0.013,0.031249912
104000306,104000306_2008,2,2008,0.592425113,0.413,Typ 05.1,30.1,0.0422445,1.0667,9.4,13.7,7.15,0.019375,0.018,32505161.26,5576815.243,Rhein,NWB,50.53119,8.87808,39.45975,16.01889,-0.549604279,0.365260533,-0.014,0.023749672
104000391,104000391_2008,2,2008,0.571627576,0.692,Typ 05.1,42.6,0.018,0.66,10.1,12.5,7.96,0.0019375,0.019,32497765.64,5640043.172,Rhein,NWB,57.62438,4.47083,37.00623,26.76419,-0.827526326,0.027608584,0.128,0.026567708
104000417,104000417_2008,2,2008,0.599953759,0.811,Typ 05,12.2,9.00E-04,0.13,12.3,7,7.58,0.0019375,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,-1.19700335,-0.043718139,-0.01,0.042548588
104000421,104000421_2008,2,2008,0.619406192,0.81,Typ 05,31.8,0.002,0.11,13.2,8.4,8.65,0.0019375,0.004,32448642.99,5616716.81,Rhein,NWB,59.47003,12.65918,26.0346,1.02088,-1.276848415,-0.088674451,0.044,0.037340569
104000425,104000425_2008,2,2008,0.489325465,0.381,Typ 05,36.7,0.002,0.27,11.2,8.4,8.03,0.0019375,0.002,32455531.14,5597494.373,Rhein,NWB,68.34939,11.20013,19.87745,9.12142,-1.11285498,-1.382822312,0.381,-0.008036042
104000443,104000443_2008,2,2008,0.573692098,0.599,Typ 05,32.8,0.001,0.45,10.9,8.8,8.14,0.0019375,0.001,32449679.41,5589209.707,Rhein,NWB,50.1859,8.26428,40.6876,26.60572,-1.078605802,0.069967718,0.01,0.017236029
104000456,104000456_2008,2,2008,0.516477758,0.328,Typ 11,104.6,0.019114,0.62,11.6,9.3,7.4,0.019375,0.014,NA,NA,NA,NA,NA,NA,NA,NA,-0.708939646,0.01359855,-0.166,-0.038351746
104000501,104000501_2008,2,2008,0.605449088,0.519,Typ 05,32,0.0028855,0.35,11.4,8.6,7.5,0.009,0.008,32549509.03,5635902.438,Weser,NWB,61.10854,8.71389,30.82721,11.89871,-1.002320156,0.000510473,0.009,0.059812379
104000502,104000502_2008,2,2008,0.573495873,0.517,Typ 09,42,0.0029135,0.42,11,9.6,7.5,0.009,0.007,32552335.68,5604088.074,Weser,NWB,35.87047,11.74439,53.94253,25.46544,-0.959155699,-0.450040032,0.135,-0.022588224
104000505,104000505_2008,2,2008,0.54338883,0.462,Typ 05.1,51,0.0031065,0.74,12,5.6,7.5,0.0019375,0.006,NA,NA,NA,NA,NA,NA,NA,NA,-0.909788921,-0.262444054,0.039,-0.041974307
104000509,104000509_2008,2,2008,0.575842508,0.574,Typ 05.1,61,0.01855775,0.52,11.1,10.8,7.5,0.0019375,0.031,32552399.83,5628661.306,Weser,NWB,36.42432,10.4456,52.52777,32.04278,-0.754972697,0.086197432,0.007,0.029678377
104000536,104000536_2008,2,2008,0.571794009,0.566,Typ 05,50,0.006,0.56,10.8,10.4,7.6,0.0019375,0.007,32492679.81,5661355.741,Weser,NWB,36.22421,5.95842,55.56574,31.32065,-0.921909147,0.1061178,0.027,0.06284507
104000592,104000592_2008,2,2008,0.595754411,0.691,Typ 05,28,0.0030725,0.35,11.5,7.2,7.5,0.021,0.006,32480834.66,5688241.193,Weser,NWB,46.30011,8.70165,45.81702,8.30767,-0.992172565,0.05190684,0.128,0.054774797
106000323,106000323_2008,7,2008,0.526273048,0.808,Typ 17,43.6,0.003,0.29,4.875,12.9,7.7,0.008,0.013,32605631.54,5865530.795,Elbe,HMWB,40.6187,4.44,51.29201,44.32674,-0.783966978,0.00903264,-0.125,0.0235875
106000334,106000334_2008,7,2008,0.558018456,0.826,Typ 17,27.9,0.003,0.22,5.21,12.4,7.6,0.016,0.011,32599668.94,5868090.867,Elbe,HMWB,49.75511,2.35694,46.81445,41.26567,-0.821857404,0.08565199,-0.107,0.032935477
106000367,106000367_2008,6,2008,0.460445378,0.648,Typ 17,40.9,0.002,0.072,5.33,11.6,7.7,0.007,0.012,32608950.7,5900933.618,Elbe,HMWB,46.19883,3.435,47.59227,43.00329,-0.872680957,-0.317417779,-0.048,-0.00211234
106000412,106000412_2008,3,2008,0.501341318,0.655,Typ 16,24.7,0.00025,0.28,4.72,6.8,7.4,0.016,0.011,32551213.7,5905155.861,Elbe,NWB,64.17278,9.61784,26.68679,18.68632,-0.779753694,-1.404460849,0.308,0.040137721
106000495,106000495_2008,5,2008,0.477408281,0.182,Typ 15,560,0.05,2.1,7.6,13.9,7.6,0.12,0.16,32361693.8,5817996.26,Küste,HMWB,11.44844,8.0796,36.65495,29.16549,1.708631388,1.713818623,0,0.003864084
106000517,106000517_2008,3,2008,0.476919112,0.084,Typ 15,590,0.07,1.8,6.6,7.5,7.5,0.45,0.08,32361355.83,5810145.387,Küste,HMWB,9.98186,8.70384,38.31531,31.90593,2.152708299,-0.990578062,-0.082,-0.014076837
106000522,106000522_2008,3,2008,0.452646029,0.116,Typ 14,1010,0.02,2.1,8.5,12.2,7.6,0.1,0.03,32350066.67,5834888.705,NA,AWB,6.56703,19.10033,70.92449,61.51937,1.607721033,-1.089461252,-0.008,-0.09309129
106000524,106000524_2008,4,2008,0.493604009,0.007,Typ 15_gross,640,0.05,2.8,8.2,13.9,7.5,0.19,0.09,32346890.88,5831467.11,Küste,HMWB,14.77569,10.25784,51.04911,41.90279,1.814263389,-0.762456795,0.007,0.004736757
106000540,106000540_2008,4,2008,0.502406977,0.087,Typ 14,48,0.004,0.65,4.56,6.7,7.1,0.043,0.007,32346318.03,5825964.306,Küste,HMWB,18.49256,7.7071,65.00348,44.79299,-0.5513687,-2.605325055,0.045,-0.028099206
107000707,107000707_2008,3,2008,0.521508785,0.517,Typ 05,17.65,5.00E-04,0.123,5.4625,9.55,7.25,0.001,0.001,32302554.12,5615797.246,Rhein,HMWB,81.92022,1.07916,2.40672,0,-0.938628195,-1.083020317,0.126,0.090932535
107001230,107001230_2008,3,2008,0.587593839,0.621,Typ 05,15.6,0.00843475,0.276255,6.24,11.8,7.81,0.032295625,0.011843,32410561.11,5644342.243,Rhein,NWB,53.67153,8.84987,37.39906,3.12811,-0.822823419,0.238707142,-0.093,-0.027342916
107001393,107001393_2008,5,2008,0.614246646,0.659,Typ 05,27.4,0.00881,0.368815,5.985,11.4,8.65,0.0288975,0.01278625,32388450.19,5632995.481,NA,NWB,40.4652,15.97734,40.97828,3.46272,-0.850867572,0.266698371,-0.029,0.021412479
107003139,107003139_2008,2,2008,0.482586735,0.006,Typ 09.2,60,0.153345,3.1412,3.215,19.3,7.39,0.20698,0.06372,32353472.81,5697307.764,Rhein,HMWB,54.05815,16.26263,NA,NA,1.204812498,0.669857804,0.006,-0.005082126
107003145,107003145_2008,2,2008,0.479020133,0.064,Typ 14,54,0.220845,3.3332,5.185,19.4,7.72,0.16022,0.05091,NA,NA,NA,NA,NA,NA,NA,NA,1.103809266,0.383235254,0.039,-0.021908229
107003147,107003147_2008,2,2008,0.457105074,0.008,Typ 09.2,52,0.17872,3.07457,10.5,21.5,8.09,0.10529,0.04048,32359504.92,5693794.602,Rhein,HMWB,54.48512,16.1178,NA,NA,0.537891632,1.243389365,-0.025,-0.044056308
107003161,107003161_2008,2,2008,0.542354791,0.864,Typ 05,27,0.001067375,0.25206,11.1,8.7,7.74,0.002504986,0.0025725,32371911.5,5687931.596,Rhein,NWB,37.88428,15.47025,37.05978,14.87898,-1.101089847,-0.379759231,0.206,0.031753792
107003166,107003166_2008,2,2008,0.508711977,0.346,Typ 05,41,0.28447,1.95167,10.8,13.6,8.16,0.06981,0.02934,32368568.7,5694167.959,NA,HMWB,37.83153,19.33564,30.10159,13.30769,0.266566594,1.305332434,-0.069,-0.072347616
107003174,107003174_2008,2,2008,0.582685623,0.621,Typ 05,28,0.002840875,0.35844,12.5,11.9,8.276,0.009354596,0.00541,32370531.91,5692361.551,Rhein,NWB,51.8177,12.28317,26.10766,9.78624,-1.130300198,-0.405157959,0.026,0.008372549
107003235,107003235_2008,3,2008,0.406564085,0,Typ 15_gross,202,0.148155,3.266726,5.31,23.6,8,0.149819375,0.06555,32366349.27,5728473.329,Rhein,HMWB,23.30626,17.71904,NA,NA,1.208282045,-1.293447878,0,-0.060990654
107004645,107004645_2008,3,2008,0.55969098,0.475,Typ 07,72,5.00E-04,0.66,5.135,17,8,0.005,0.013,32510026.37,5718641.642,NA,NWB,11.67807,5.7428,80.16646,70.21012,-0.685328936,-0.223546968,0.204,0.037480504
110000012,110000012_2008,4,2008,0.520176007,0.727,Typ 16,51.7,0.00125,0.575,10.4,5.1,7.19,0.009,0.00025,32728202.11,5755469.571,Elbe,NWB,51.39626,5.31287,41.08319,37.23171,-0.890879664,0.116151492,0.02,-0.04341735
110000057,110000057_2008,6,2008,0.537292682,0.64,Typ 16,37,0.002,0.105,10.1,6.8,8.2,0.011,0.002,32716885.71,5795442.339,Elbe,NWB,56.21591,23.99668,19.16674,13.77189,-1.114691012,-0.071433121,0.05,-0.039709024
110000499,110000499_2008,7,2008,0.536807769,0.849,Typ 17,60.7,0.01544075,0.4202,9.2,18,7.51,0.021037493,0.0141325,32766649.35,5746191.334,NA,NWB,43.92324,9.56061,NA,NA,-0.777368459,0.165238362,0.179,0.043589941
110000508,110000508_2008,6,2008,0.490153702,0.38,Typ 19,42.2,0.00125,0.06,8.4,14.9,7.1,0.00125,0.00025,NA,NA,NA,NA,NA,NA,NA,NA,-0.998742389,-1.121318933,0.193,-0.059929915
110000515,110000515_2008,7,2008,0.51392034,0.658,Typ 17,58.9,0.003,0.341,8.4,21,7.48,0.00125,0.002,32722850.81,5751720.207,NA,NWB,50.56296,15.70897,26.31189,18.6505,-0.918139546,0.061060719,-0.159,-0.010387297
201000100,201000100_2008,2,2008,0.447822765,0.394,Typ 18,222,0.12974375,0.88461,11.3,16.4,7.6,0.062174928,0.02757,NA,NA,NA,NA,NA,NA,NA,NA,-0.034924902,0.019777482,0.111,0.023153374
104000191,104000191_2009,2,2009,0.398666075,0.318,Typ 06,117.2,0.27395,2.23195,8.4,16,7.6,0.10331,0.03847,32486802.21,5525447.805,Rhein,NWB,7.14555,12.37899,41.30556,33.25371,0.715525024,-0.718063468,0.277,-0.069473313
104001325,104001325_2009,2,2009,0.544010324,0.139,Typ 06,280,0.14306,1.5,12.3,17.2,8,0.13875375,0.08,NA,NA,NA,NA,NA,NA,NA,NA,0.675033386,1.839510963,-0.217,0.025924886
106000035,106000035_2009,3,2009,0.481847666,0.857,Typ 15,54.8985,0.002,0.16,10,11.8,7.3,0.007,0.001,32515522.53,5880697.105,NA,HMWB,32.57684,12.0585,53.67157,37.18715,-0.998697713,-0.210419297,0.202,0.070423008
106000041,106000041_2009,7,2009,0.556031198,0.968,Typ 15,26,0.001,0.1,4.845,16,7.5,0.006,0.006,32579390.59,5911001.04,Elbe,HMWB,51.73718,10.39768,36.08777,29.75586,-0.895456982,-0.004688566,0.392,0.033616244
106000046,106000046_2009,4,2009,0.524689557,0.875,Typ 15,62.2405,0.005,0.245,8.6,13.2,7.6,0.014,0.005,32525039.1,5905507.106,NA,NWB,25.45871,11.10379,63.51176,44.44227,-0.900480406,-0.148814113,-0.017,-0.04310529
106000082,106000082_2009,4,2009,0.48272909,0.521,Typ 15,59,0.004,0.44,4.37,6.6,7.2,0.001,0.014,32397754.35,5810818.611,Ems,HMWB,17.65261,10.67884,70.89125,61.8749,-0.660890163,0.095175056,-0.076,0.009476757
106000119,106000119_2009,4,2009,0.456487232,0.016,Typ 15_gross,694.0541637,0.006,2.13967,4.59,13.2,7.4,0.1,0.09982,32405557.63,5837845.749,Ems,HMWB,23.56903,18.11224,56.94409,47.655,1.586106753,0.350263198,0.016,-0.043737305
106000143,106000143_2009,4,2009,0.457394042,0.294,Typ 14,79.313,0.006,0.83075,6.405,16.4,7.9,0.023559375,0.0189495,32398108.52,5832188.104,Ems,HMWB,16.90107,8.10469,71.99584,67.61996,-0.565831607,-1.675156587,0.079,-0.038048038
106000160,106000160_2009,6,2009,0.529782543,0.668,Typ 12,64.509,0.002,0.15,10.6,16.1,7.7,0.002,0.001,32395446.72,5842205.157,NA,HMWB,18.23755,11.20497,67.5178,54.98882,-1.056497023,-0.310477989,-0.103,0.010207943
106000166,106000166_2009,3,2009,0.484852723,0.037,Typ 15_gross,580,0.13,4.2,8.85,14.9,7.4,0.16,0.08,32388318.52,5839650.274,Ems,HMWB,23.24861,12.08511,58.78374,49.55581,2.119838424,0.0776135,0.024,0.042303851
106000177,106000177_2009,5,2009,0.479504171,0.115,Typ 14,143.573,0.002,0.48,9.8,11,6.5,0.047,0.028,32407164.06,5911556.389,NA,HMWB,12.40474,15.92333,55.95104,20.05684,-0.426925214,-2.941795689,0.001,-0.006386605
106000189,106000189_2009,2,2009,0.486118325,0.028,Typ 15,90.7,0.202,3.490766,3.555,18.5,7.5,0.24,0.12,32480005.76,5820533.557,Weser,HMWB,15.72155,21.01367,65.00739,53.49366,1.82962699,2.561533005,-0.304,-0.027169311
106000219,106000219_2009,2,2009,0.539913435,0.044,Typ 15,49.5,0.312703,2.6,8.1,12.2,7,0.45,0.019,32500357.72,5824215.787,Weser,HMWB,14.18481,17.64772,66.96632,57.79004,1.618646523,0.584509725,-0.207,0.092441558
106000229,106000229_2009,3,2009,0.514539958,0.943,Typ 17,56.495,0.002,0.18,9.1,13.6,7.7,0.002,0.001,32576265.69,5830933.974,NA,NWB,64.17899,3.2821,31.7041,25.78886,-1.012594924,-0.097132453,0.163,-0.056618825
106000240,106000240_2009,6,2009,0.434259534,0.2,Typ 15,133.778673,0.07,0.84536,8.7,12.3,7.58105,0.031,0.011,32590016.48,5783057.817,NA,HMWB,21.04832,15.61455,57.21376,54.70684,-0.403723405,-0.999069298,0.011,-0.05937669
106000260,106000260_2009,3,2009,0.527000743,0.437,Typ 18,147,0.002,0.33,6.165,6.2,7.8608,0.001,0.025,32596247.05,5786613.308,Weser,HMWB,13.85277,31.46545,36.06621,34.96811,-0.604767713,-2.258463111,0.351,0.113031776
106000264,106000264_2009,3,2009,0.519712957,0.562,Typ 15,79.261,0.001,0.16,6.7,21.1,7.6055,0.002,0.021,32588646.46,5811238.619,NA,HMWB,14.2593,14.70162,61.57282,54.03046,-0.786990153,-1.766530495,0.293,-0.009189172
106000282,106000282_2009,5,2009,0.492717444,1,Typ 17,51.3195,5.00E-04,0.2,10.2,10.7,7.6,0.002,0.001,32564662.37,5836443.957,NA,NWB,64.36303,11.29002,20.63079,16.22687,-1.043890685,-0.160725985,0.214,-0.045788731
